Instituição financeira;Código;Conglomerado;Conglomerado Financeiro;Conglomerado Prudencial;TCB;TC;TI;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BANCO ORIGINAL S.A.;92894922;ORIGINAL;51781;80903;b1;2;8;SAO PAULO;SP;03/2020;83.934;1.281.375;2.976.174;5.158.565;-306.372;4.852.193;0;0;0;0;0;3.036.527;165.636;906.358;13.302.198;0;13.302.198
BANCO MERCEDES-BENZ DO BRASIL S.A.;60814191;MERCEDES-BENZ;51262;80563;b2;3;8;SAO PAULO;SP;03/2020;27.360;569.197;655;11.456.110;-360.315;11.095.795;0;0;0;0;0;1.301.995;13.176;94.457;13.102.636;0;13.102.636
BANCO RCI BRASIL S.A.;62307848;SANTANDER;30379;80185;b2;3;8;SAO PAULO;SP;03/2020;36.923;295.000;713.376;9.751.739;-170.859;9.580.880;10.363;1.495.676;896.553;-13.891;2.388.701;624.587;323.592;4.127;13.967.186;896.553;13.070.633
BANCO BRADESCARD S.A.;4184779;BRADESCO;10045;80075;b1;2;8;OSASCO;SP;03/2020;4.125;551.433;11;4.081.653;-1.486.656;2.594.997;0;0;0;0;0;9.046.524;89.766;674.485;12.961.341;0;12.961.341
BANCO ITAULEASING S.A.;49925225;ITAU;10069;80099;b2;2;8;SAO PAULO;SP;03/2020;201;2.862.594;0;0;0;0;0;148.316;114.830;-79;263.068;208.072;1;9.338.901;12.672.837;114.830;12.558.007
HSBC BRASIL S.A. - BANCO DE INVESTIMENTO;53518684;;;84741;b2;3;13;SAO PAULO;SP;03/2020;13.470;1.857.844;6.142.390;65.594;-390;65.204;0;0;0;0;0;4.313.422;927;48.678;12.441.934;0;12.441.934
DIBENS LEASING S.A. ARRENDAMENTO MERCANTIL;65654303;ITAU;10069;80099;n1;2;19;SAO PAULO;SP;03/2020;102;8.445.864;18.519;0;0;0;0;0;0;0;0;57.369;580;3.276.972;11.799.407;0;11.799.407
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;;;80532;b1;3;8;SAO PAULO;SP;03/2020;383.518;2.068.239;1.624.754;981.448;-4.165;977.283;0;0;0;0;0;6.550.246;3.735;10.539;11.618.314;0;11.618.314
BRADESCO LEASING S.A. - ARRENDAMENTO MERCANTIL;47509120;BRADESCO;10045;80075;n1;2;19;OSASCO;SP;03/2020;6.100;1.307;6.154.476;0;0;0;49.296;4.052.191;1.316.960;-146.531;5.271.916;1.329.996;9.456;66.260;12.839.510;1.316.960;11.522.551
BANCO PINE S.A.;62144175;PINE;50304;80374;b1;2;8;SAO PAULO;SP;03/2020;221.615;110.175;5.610.434;2.788.940;-338.009;2.450.931;0;0;0;0;0;1.793.246;453.776;747.754;11.387.932;0;11.387.932
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;;;81452;b1;3;8;SAO PAULO;SP;03/2020;19.241;7.038.745;1.038.611;1.954.786;-79;1.954.707;0;0;0;0;0;1.111.166;1.223;6.290;11.169.983;0;11.169.983
LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;2206577;ITAU;10069;80099;n1;2;14;SAO PAULO;SP;03/2020;38.530;0;19.722;3.044.842;-920.836;2.124.005;0;0;0;0;0;8.815.924;5.655;109.244;11.113.080;0;11.113.080
BANCO CSF S.A.;8357240;;;81610;b2;3;8;SAO PAULO;SP;03/2020;4.587;0;296.054;3.762.028;-1.197.555;2.564.473;0;0;0;0;0;7.228.083;62.359;827.813;10.983.368;0;10.983.368
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;;;81407;b2;3;8;CURITIBA;PR;03/2020;48.262;281.089;0;10.357.467;-318.707;10.038.760;30;3.209;1.927;-76;5.090;500.292;23.239;10.244;10.906.976;1.927;10.905.049
BANCO CETELEM S.A.;558456;BNP PARIBAS;51516;80673;b1;3;8;SAO PAULO;SP;03/2020;595;56.936;0;8.104.200;-511.898;7.592.302;0;0;0;0;0;2.758.275;182.380;221.986;10.812.474;0;10.812.474
BANCO INTER S.A.;416968;INTER;51884;80996;b1;2;8;BELO HORIZONTE;MG;03/2020;146.747;2.676.115;1.355.351;4.181.853;-157.824;4.024.029;0;0;0;0;0;1.331.070;751.884;202.954;10.488.150;0;10.488.150
CITIBANK N.A.;33042953;CITIBANK;30403;80192;b1;3;28;SAO PAULO;SP;03/2020;27.484;5.955.997;1.272.243;89.806;-36;89.770;0;0;0;0;0;968.209;1.887.751;28.868;10.230.322;0;10.230.322
BANCO MERCANTIL DO BRASIL S.A.;17184037;MERCANTIL DO BRASIL;20152;80123;b1;2;8;BELO HORIZONTE;MG;03/2020;791.828;1.907.543;1.084.458;4.663.256;-480.233;4.183.023;0;0;0;0;0;1.006.664;280.704;748.530;10.002.750;0;10.002.750
BANCO JOHN DEERE S.A.;91884981;;;80343;b1;3;8;INDAIATUBA;SP;03/2020;1.029;570.288;0;8.987.317;-347.169;8.640.148;0;0;0;0;0;218.031;30.865;8.942;9.469.302;0;9.469.302
BANCO CLASSICO S.A.;31597552;;;81665;b1;2;8;RIO DE JANEIRO;RJ;03/2020;381;1.341.920;7.572.992;0;0;0;0;0;0;0;0;137.212;2;341.177;9.393.683;0;9.393.683
BANCO DO ESTADO DO PARÁ S.A.;4913711;;;81586;b1;1;8;BELEM;PA;03/2020;229.187;1.344.684;936.783;5.753.493;-147.819;5.605.674;0;0;0;0;0;588.628;464.936;198.159;9.368.051;0;9.368.051
